# Micro Shogi table stats
path = research/runs/kpg-2026-06-11/kpg.table.bin
records = 869287068
record_bytes = 20
wins = 606922331
losses = 142074547
draws = 120290190
decided = 748996878
max_win_dtm = 155
max_loss_dtm = 154
max_abs_dtm = 155
mean_win_dtm = 5.437765
mean_loss_dtm = 13.780471
mean_decided_dtm = 7.020263
p50_decided_dtm = 2
p90_decided_dtm = 16
p99_decided_dtm = 54
p999_decided_dtm = 89

## signed value histogram
value,count
-154,14
-152,20
-150,59
-148,124
-146,370
-144,455
-142,600
-140,1011
-138,2089
-136,2325
-134,3527
-132,5094
-130,6094
-128,7022
-126,7024
-124,6464
-122,5939
-120,5208
-118,5706
-116,6057
-114,5887
-112,5415
-110,5672
-108,6758
-106,9504
-104,12333
-102,17147
-100,20278
-98,24286
-96,33444
-94,42682
-92,48023
-90,56315
-88,65359
-86,72812
-84,84399
-82,94205
-80,102993
-78,115683
-76,136893
-74,155264
-72,159467
-70,169789
-68,187931
-66,198461
-64,224993
-62,255380
-60,280416
-58,323608
-56,373115
-54,414779
-52,473628
-50,542470
-48,629963
-46,725836
-44,822956
-42,907609
-40,1007086
-38,1114649
-36,1186281
-34,1232851
-32,1279328
-30,1363595
-28,1451580
-26,1552924
-24,1746969
-22,2134229
-20,2848875
-18,4024769
-16,6214331
-14,9863924
-12,14370837
-10,19142164
-8,20932314
-6,19689061
-4,13130442
-2,9917383
0,120290190
1,366724976
3,24668695
5,41165435
7,42508884
9,36972864
11,26482797
13,16324572
15,9469612
17,5859728
19,4292582
21,3359543
23,2860214
25,2533316
27,2294846
29,2154398
31,2005310
33,1932176
35,1835540
37,1684679
39,1520016
41,1358805
43,1205174
45,1059811
47,905713
49,767578
51,642922
53,550111
55,462650
57,385655
59,335073
61,283172
63,251762
65,222710
67,199304
69,186162
71,162538
73,149028
75,139510
77,127076
79,109807
81,100812
83,90933
85,85852
87,76330
89,69603
91,61670
93,48527
95,37778
97,30033
99,23910
101,20545
103,16110
105,12390
107,9265
109,6901
111,6360
113,5836
115,5118
117,5143
119,6415
121,7160
123,7320
125,6962
127,6003
129,5682
131,4436
133,3380
135,2099
137,1916
139,1192
141,704
143,486
145,385
147,139
149,84
151,77
153,20
155,11

## absolute DTM by outcome
dtm,wins,losses,decided
1,366724976,0,366724976
2,0,9917383,9917383
3,24668695,0,24668695
4,0,13130442,13130442
5,41165435,0,41165435
6,0,19689061,19689061
7,42508884,0,42508884
8,0,20932314,20932314
9,36972864,0,36972864
10,0,19142164,19142164
11,26482797,0,26482797
12,0,14370837,14370837
13,16324572,0,16324572
14,0,9863924,9863924
15,9469612,0,9469612
16,0,6214331,6214331
17,5859728,0,5859728
18,0,4024769,4024769
19,4292582,0,4292582
20,0,2848875,2848875
21,3359543,0,3359543
22,0,2134229,2134229
23,2860214,0,2860214
24,0,1746969,1746969
25,2533316,0,2533316
26,0,1552924,1552924
27,2294846,0,2294846
28,0,1451580,1451580
29,2154398,0,2154398
30,0,1363595,1363595
31,2005310,0,2005310
32,0,1279328,1279328
33,1932176,0,1932176
34,0,1232851,1232851
35,1835540,0,1835540
36,0,1186281,1186281
37,1684679,0,1684679
38,0,1114649,1114649
39,1520016,0,1520016
40,0,1007086,1007086
41,1358805,0,1358805
42,0,907609,907609
43,1205174,0,1205174
44,0,822956,822956
45,1059811,0,1059811
46,0,725836,725836
47,905713,0,905713
48,0,629963,629963
49,767578,0,767578
50,0,542470,542470
51,642922,0,642922
52,0,473628,473628
53,550111,0,550111
54,0,414779,414779
55,462650,0,462650
56,0,373115,373115
57,385655,0,385655
58,0,323608,323608
59,335073,0,335073
60,0,280416,280416
61,283172,0,283172
62,0,255380,255380
63,251762,0,251762
64,0,224993,224993
65,222710,0,222710
66,0,198461,198461
67,199304,0,199304
68,0,187931,187931
69,186162,0,186162
70,0,169789,169789
71,162538,0,162538
72,0,159467,159467
73,149028,0,149028
74,0,155264,155264
75,139510,0,139510
76,0,136893,136893
77,127076,0,127076
78,0,115683,115683
79,109807,0,109807
80,0,102993,102993
81,100812,0,100812
82,0,94205,94205
83,90933,0,90933
84,0,84399,84399
85,85852,0,85852
86,0,72812,72812
87,76330,0,76330
88,0,65359,65359
89,69603,0,69603
90,0,56315,56315
91,61670,0,61670
92,0,48023,48023
93,48527,0,48527
94,0,42682,42682
95,37778,0,37778
96,0,33444,33444
97,30033,0,30033
98,0,24286,24286
99,23910,0,23910
100,0,20278,20278
101,20545,0,20545
102,0,17147,17147
103,16110,0,16110
104,0,12333,12333
105,12390,0,12390
106,0,9504,9504
107,9265,0,9265
108,0,6758,6758
109,6901,0,6901
110,0,5672,5672
111,6360,0,6360
112,0,5415,5415
113,5836,0,5836
114,0,5887,5887
115,5118,0,5118
116,0,6057,6057
117,5143,0,5143
118,0,5706,5706
119,6415,0,6415
120,0,5208,5208
121,7160,0,7160
122,0,5939,5939
123,7320,0,7320
124,0,6464,6464
125,6962,0,6962
126,0,7024,7024
127,6003,0,6003
128,0,7022,7022
129,5682,0,5682
130,0,6094,6094
131,4436,0,4436
132,0,5094,5094
133,3380,0,3380
134,0,3527,3527
135,2099,0,2099
136,0,2325,2325
137,1916,0,1916
138,0,2089,2089
139,1192,0,1192
140,0,1011,1011
141,704,0,704
142,0,600,600
143,486,0,486
144,0,455,455
145,385,0,385
146,0,370,370
147,139,0,139
148,0,124,124
149,84,0,84
150,0,59,59
151,77,0,77
152,0,20,20
153,20,0,20
154,0,14,14
155,11,0,11
